Target,V,U,B,R,I,J,H,K,L,M,N,eV,eU,eB,eR,eI,eJ,eH,eK,eL,eM,eN,ObsDate
HD 262013,9.21,7.47,8.18,--,--,7.4,7.32,7.24,7.19,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 2626,5.94,8.6,9.08,--,--,7.12,6.96,6.88,6.79,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26311,5.74,4.04,4.47,4.2,4.06,4.07,3.97,3.94,3.91,3.94,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 2637,5.72,7.01,6.16,--,--,3.39,--,2.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26413,6.59,5.14,5.08,--,--,6.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26491,6.38,--,14.9,--,--,3.89,2.71,2.11,1.55,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26571,6.12,11.06,9.86,--,--,--,--,5.46,5.35,5.48,4.95,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26575,6.44,3.5,4.24,4.53,4.7,4.93,4.91,5.01,5.03,5.02,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26591,5.8,18.35,13.35,--,--,5.26,4.16,3.72,3.24,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26601,7.5,7.59,6.06,3.78,3.11,2.47,--,1.66,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26612,4.93,6.98,6.9,5.71,5.39,5.11,4.73,4.69,4.55,4.62,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26630,4.16,6.11,6.11,5.18,4.78,4.42,4.2,4.08,3.99,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 2665,7.72,--,--,--,--,4.03,2.95,2.55,2.26,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26670,5.7,--,--,--,--,-0.59,-1.55,-1.96,-2.3,-2.22,-3.4,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26690,5.29,--,--,--,--,3.69,2.77,2.39,2.03,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26710,7.18,7.07,7.09,--,--,7.11,7.1,7.12,7.06,6.82,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26820,6.71,4.57,4.56,3.64,3.39,3.08,2.85,2.82,2.8,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26846,4.86,--,--,--,--,7.3,6.79,7.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 268654,10.46,9.77,9.1,--,--,6.52,5.96,5.89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 268687,10.65,--,--,--,--,2.52,1.75,1.4,0.57,0.07,-1.52,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 268708,11.6,5.15,5.42,--,--,5.62,5.63,5.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 268743,11.69,--,--,--,--,6.85,6.05,5.93,6.27,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 268757,10.25,11.06,10.34,--,--,0.89,-0.08,-0.46,-0.79,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 268819,10.08,--,--,--,--,6.55,5.96,5.8,5.62,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 268822,10.67,8.44,7.84,--,--,5.05,4.65,4.55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 268835,10.66,6.33,4.89,2.67,2.02,1.41,--,0.6,0.54,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 268946,10.24,3.33,3.21,2.88,2.8,2.65,2.57,2.56,2.52,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269006,10.55,9.94,9.83,--,--,--,--,9.48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269050,11.54,--,--,--,--,--,--,3.3,3.1,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269110,10.82,1.3,2.12,2.41,2.59,2.84,2.91,2.96,2.88,2.85,2.3,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269128,10.52,--,5.79,--,--,6.02,6.02,6.04,6.09,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269154,10.5,--,--,--,--,9.19,8.75,8.58,8.48,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269216,10.76,4.76,4.84,4.13,3.94,3.7,3.51,3.48,3.41,3.44,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269217,11.89,--,--,--,--,3.68,2.55,1.99,1.5,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269219,10.87,9.18,7.3,--,--,2.81,--,1.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269227,11.8,8.75,7.03,--,--,3.03,2.2,2.05,1.94,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269236,11.2,8.64,8.63,--,--,6.54,6.14,6.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269321,10.84,3.34,3.9,4.14,4.25,4.37,4.44,4.49,4.56,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269355,11.24,--,--,--,--,3.34,2.51,1.96,1.33,1.01,0.32,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269445,11.46,6.61,6.58,--,--,5.16,4.9,4.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269540,12.62,0.96,0.72,--,--,-1.15,-1.38,-1.49,-1.54,-1.47,-1.56,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269542,9.9,2.89,2.21,--,--,-0.01,-0.49,-0.6,-0.63,-0.55,-0.59,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269546,9.86,--,--,--,--,--,--,--,-0.33,-0.27,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269599,10.03,--,--,--,--,6,5.13,4.69,4.14,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26965,4.43,9.84,9.8,--,--,7.96,7.63,7.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269661,10.34,4.18,4.5,4.47,4.49,4.59,4.56,4.57,4.54,4.43,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269662,10.28,3.55,3.43,2.96,2.86,2.84,2.73,2.74,2.65,2.74,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 26967,3.86,3.14,3.83,4.11,4.26,4.39,4.46,4.51,4.54,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269687,11.9,10.23,9.34,--,--,--,--,--,0.24,0.42,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269697,10.28,4.25,4.26,3.48,3.26,3.11,2.92,2.88,2.82,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269700,10.54,8.44,6.46,3.37,2.11,1.28,0.42,0.19,0.08,0.31,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269721,12.06,8.75,7.12,--,--,3.28,2.56,2.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269781,9.87,9.62,7.68,--,--,2.78,--,1.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 269879,10.94,--,--,--,--,10.15,9.73,9.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 270046,10.38,6.96,6.96,--,--,6.77,6.74,6.72,6.63,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 270111,10.2,6.81,6.09,--,--,0.65,--,0,-0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 27022,5.27,6.33,5.58,3.87,3.39,2.98,2.48,2.41,2.33,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 271018,11.43,5.89,5.81,--,--,5.61,5.58,5.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
